user_id,install_date,country,device,session_count,ttp,last_moment,unit_count,revenue,try_1,try_2,try_3,win_1,win_2,win_3,days_active
Z5I6CM-8XGUSY-6OGL87,2016-10-01,US,iPhone,7,2384,1475351583,NULL,NULL,1.0,46.0,0.0,1.0,13.0,0.0,7
MA8WYS-1XHE9O-NY72KH,2016-10-02,GB,iPhone,1,795,1475442293,NULL,NULL,6.0,10.0,0.0,5.0,7.0,0.0,2
H1VE9I-67TYUA-EK4FQU,2016-10-02,GB,iPhone,1,586,1475409083,NULL,NULL,1.0,9.0,0.0,1.0,8.0,0.0,2
7N5243-Q3GKST-UPMD0A,2016-10-01,US,iPad,5,4782,1475353159,NULL,NULL,1.0,60.0,5.0,1.0,30.0,2.0,6
QZYK4N-SRQZ35-S40ERG,2016-10-02,US,iPhone,NA,1280,1475440735,NULL,NULL,11.0,13.0,0.0,8.0,8.0,0.0,5
V32C96-KJ2AQR-BZMPH0,2016-10-01,US,iPhone,6,2301,1475362585,NULL,NULL,9.0,18.0,2.0,6.0,14.0,2.0,1
FCAXRO-PFVS5U-FNJ7IR,2016-10-01,FR,iPhone,3,1074,1475351869,NULL,NULL,1.0,13.0,0.0,1.0,9.0,0.0,5
EBYMP2-MPW7FE-M5J2WA,2016-10-02,US,iPad,7,4012,1475452721,1,13.59,27.0,28.0,4.0,23.0,23.0,3.0,8
D7ASZ3-E9RMVI-M97HTF,2016-10-01,GB,iPad,6,1268,1475336753,NULL,NULL,1.0,19.0,0.0,1.0,13.0,0.0,1
QYAR0W-KP5V2H-9UV8XD,2016-10-02,GB,iPhone,4,393,1475422038,NULL,NULL,0.0,12.0,0.0,0.0,3.0,0.0,1
WRJKXE-2ZUB3Q-PK9A0T,2016-10-02,US,iPhone,1,7,1475434140,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,3
USPTDG-7TK0OQ-UT43D5,2016-10-01,BR,iPad,2,25,1475333007,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,2
QHRZTY-W6H3OM-S2KJGY,2016-10-02,FR,iPhone,1,1009,1475426718,NULL,NULL,3.0,8.0,0.0,3.0,8.0,0.0,1
WOLZRS-T4ZEGW-EOCUYA,2016-10-02,GB,iPad,4,5485,1475431685,NULL,NULL,3.0,46.0,4.0,3.0,31.0,4.0,3
7PERGW-M40OKZ-6VBGA0,2016-10-02,TR,iPhone,1,11,1475404881,NULL,NULL,0.0,1.0,0.0,0.0,0.0,0.0,1
S9DYVK-MAPFZ2-KDO6YG,2016-10-02,US,iPhone,4,1708,1475452745,NULL,NULL,1.0,26.0,0.0,NA,14.0,0.0,6
OUDMIT-7DHS01-L52A07,2016-10-02,US,iPhone,3,827,1475435148,NULL,NULL,2.0,7.0,0.0,2.0,6.0,0.0,3
MWBQ4S-Q83AFT-1TYLEI,2016-10-02,US,iPhone,1,661,1475440078,NULL,NULL,1.0,10.0,0.0,1.0,8.0,0.0,2
WCXF0N-TIV6D8-BR6Q4N,2016-10-01,GB,iPhone,3,1213,1475346783,NULL,NULL,1.0,18.0,0.0,1.0,11.0,0.0,3
S537WF-L8NRO6-HCPK5F,2016-10-02,US,iPad,1,1711,1475400150,NULL,NULL,1.0,23.0,2.0,1.0,18.0,2.0,1
1LCM6H-A7VJUF-PL6Q78,2016-10-01,TR,iPhone,1,882,1475345348,NULL,NULL,8.0,9.0,0.0,4.0,8.0,0.0,2
2D8Z3Y-H1JSUX-XQB46S,2016-10-01,US,iPhone,10,5745,1475347881,NULL,NULL,14.0,31.0,7.0,9.0,16.0,2.0,5
KSPB1T-L1NO68-T316KI,2016-10-02,US,iPod touch,3,1564,1475444436,NULL,NULL,1.0,24.0,0.0,1.0,8.0,0.0,5
D2XL87-A12PDU-ZCYP98,2016-10-02,US,iPad,48,9994,1475432153,NULL,NULL,2.0,115.0,8.0,1.0,50.0,6.0,1
BOLD8U-BKNEU9-HTCGDM,2016-10-02,GB,iPhone,1,421,1475411186,NULL,NULL,1.0,7.0,0.0,1.0,7.0,0.0,1
2KHAQ5-018XC4-FEB58X,2016-10-01,US,iPhone,45,10313,1475359043,NULL,NULL,17.0,95.0,3.0,5.0,24.0,1.0,8
CZW2F1-E5CPV7-AXN5QM,2016-10-01,US,iPad,1,3,1475328426,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,2
U2XG5M-GF4KMC-GRDHV1,2016-10-02,GB,iPhone,2,456,1475435607,NULL,NULL,1.0,8.0,0.0,1.0,5.0,0.0,3
MHICXE-41C2E5-IUQAN6,2016-10-02,US,iPhone,2,381,1475374844,NULL,NULL,2.0,8.0,0.0,2.0,7.0,0.0,1
HGBK7S-4MQLBP-0W19I2,2016-10-02,US,iPhone,2,1774,1475448096,NULL,NULL,5.0,22.0,2.0,4.0,21.0,2.0,1
BX2N8Y-XU0S8B-4SK9AC,2016-10-01,US,iPhone,2,540,1475329705,NULL,NULL,2.0,7.0,0.0,1.0,4.0,0.0,5
KXT7UZ-428XMW-AQZMUF,2016-10-01,US,iPad,31,5153,1475348902,NULL,NULL,17.0,37.0,5.0,10.0,26.0,4.0,8
6NG8L5-INPZMU-6Q1H4Z,2016-10-02,FR,iPhone,7,4608,1475423254,NULL,NULL,2.0,44.0,0.0,1.0,21.0,0.0,3
OQD7M3-RYMGP0-Z7U05K,2016-10-02,US,iPhone,1,753,1475398261,NULL,NULL,4.0,9.0,0.0,1.0,4.0,0.0,2
L0341I-L7ZWK4-9O0EBJ,2016-10-01,FR,iPhone,6,2114,1475354509,NULL,NULL,2.0,26.0,3.0,2.0,19.0,2.0,3
GOJNUW-YL6GST-SA32CP,2016-10-02,US,iPhone,2,374,1475427376,NULL,NULL,0.0,3.0,0.0,0.0,1.0,0.0,2
EW6K35-VWYXTP-AP8HVQ,2016-10-02,US,iPhone,1,5,1475382247,NULL,NULL,0.0,0.0,0.0,0.0,0.0,0.0,1
4DVO3N-26RM1X-BYHZ62,2016-10-01,US,iPhone,1,475,1475336195,NULL,NULL,1.0,9.0,0.0,1.0,5.0,0.0,2
EC7MW5-S03TQ9-HP9VTQ,2016-10-02,US,iPad,1,291,1475437499,NULL,NULL,0.0,4.0,0.0,0.0,3.0,0.0,1
2ZU49S-B5EG26-D6PUR4,2016-10-01,US,iPad,2,2852,1475335370,NULL,NULL,23.0,18.0,3.0,17.0,17.0,2.0,1
DGO510-3ORBF7-MJTZUR,2016-10-02,US,iPhone,3,595,1475438758,NULL,NULL,1.0,7.0,0.0,1.0,7.0,0.0,1
TDAO61-PIT6HS-BLT789,2016-10-01,US,iPad,NA,690,1475358710,NULL,NULL,4.0,10.0,0.0,2.0,5.0,0.0,1
PEHTLK-SW2T71-M6VQY2,2016-10-01,US,iPhone,2,823,1475366394,NULL,NULL,0.0,14.0,0.0,0.0,2.0,0.0,4
45FSMZ-HUXTFC-S8I9GH,2016-10-01,US,iPhone,3,1183,1475365099,NULL,NULL,5.0,12.0,1.0,4.0,10.0,1.0,1
JM2G6Z-MWPE4Y-EP6YVR,2016-10-02,US,iPhone,6,2879,1475452234,NULL,NULL,14.0,26.0,3.0,9.0,23.0,3.0,8
FMBEGN-5N0BDP-O1UALD,2016-10-02,TR,iPhone,9,2919,1475414774,NULL,NULL,6.0,27.0,2.0,6.0,23.0,2.0,7
0SDJFV-DJ16YO-72XU9E,2016-10-01,US,iPhone,1,199,1475291949,NULL,NULL,0.0,3.0,0.0,0.0,2.0,0.0,1
LJNKOA-UT4FX8-FM2X8Q,2016-10-01,US,iPhone,12,3818,1475366391,NULL,NULL,1.0,50.0,1.0,1.0,19.0,1.0,8
UJC8QF-MNL5JF-19NO2B,2016-10-01,US,iPad,3,1241,1475352845,NULL,NULL,1.0,16.0,1.0,1.0,12.0,1.0,1
AVNFCZ-VHYG02-OUBPZ6,2016-10-02,CN,iPhone,1,353,1475372576,NULL,NULL,0.0,12.0,0.0,0.0,2.0,0.0,1
W3FSQM-0H4L7Q-VXNSQY,2016-10-01,US,iPhone,13,6786,1475364104,1,13.59,1.0,65.0,7.0,1.0,47.0,5.0,5
